Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Jarren Duran","BOS",,0.066298342,0.248618784,0.828188097,0.186746988,0.381355932,7.040178361320512,0.256198347,0.41322314,0.330578512,0.1,0.3484,98,8,46,40,24,24,102,34,2,2,332,0.3453,0.5893,"Jarren Duran",24617,680776
"Freddy Fermin","KCR",,0.055319148,0.212765957,0.781342313,0.179723503,0.322981366,2.15247252125,0.220238095,0.452380952,0.327380952,0.163636363,0.3626,61,9,26,32,13,0,70,10,1,0,217,0.3413,0.5892,"Freddy Fermin",21840,666023
"Patrick Bailey","SFG",,0.059490084,0.283286118,0.643795989,0.125766871,0.313636363,2.7777029353752414,0.224669603,0.431718061,0.343612334,0.089743589,0.3216,76,7,29,48,21,1,97,18,1,0,326,0.2992,0.5887,"Patrick Bailey",27478,672275
"Julio Rodríguez","SEA",,0.06582633,0.245098039,0.818042813,0.209480123,0.32962138,5.995101793446776,0.185031185,0.476091476,0.338877338,0.196319018,0.3867,180,32,102,103,47,37,155,37,2,10,654,0.4097,0.5886,"Julio Rodriguez",23697,677594
"Jace Peterson","- - -",,0.109302325,0.23488372,0.611224948,0.096256685,0.27037037,5.960448417573991,0.198529411,0.415441176,0.386029411,0.057142857,0.2626,79,6,35,37,47,15,134,10,4,2,374,0.2533,0.588,"Jace Peterson",12325,607054
"Alek Thomas","ARI",,0.047263681,0.213930348,0.64683155,0.144385026,0.273049645,7.1697054961049655,0.189655172,0.555172413,0.255172413,0.121621621,0.3754,86,9,51,39,19,9,125,17,5,1,374,0.3588,0.588,"Alek Thomas",23792,677950
"Starling Marte","NYM",,0.046920821,0.202346041,0.624694478,0.076190476,0.302904564,6.561345886184037,0.181069958,0.522633744,0.296296296,0.069444444,0.2702,78,5,38,28,16,24,86,7,1,4,315,0.3922,0.5876,"Starling Marte",9241,516782
"Ryan McMahon","COL",,0.10845295,0.315789473,0.752799689,0.190990991,0.326409495,3.9166778170211796,0.231843575,0.432960893,0.33519553,0.191666666,0.4306,133,23,80,70,68,5,152,31,3,5,555,0.3012,0.5866,"Ryan McMahon",15112,641857
"Christian Walker","ARI",,0.093797276,0.192133131,0.829896906,0.238831615,0.272093023,4.795576578561747,0.168466522,0.382289416,0.44924406,0.158653846,0.3305,150,33,86,103,62,11,157,36,2,0,582,0.3038,0.5865,"Christian Walker",13419,572233
"Harold Castro","COL",,0.033333333,0.244444444,0.589046424,0.062015504,0.331606217,2.6365728192105036,0.259067357,0.455958549,0.284974093,0.018181818,0.2718,65,1,24,31,9,1,99,13,0,0,258,0.4592,0.5852,"Harold Castro",14691,605612
