Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Bryce Harper","PHI",,0.166944908,0.223706176,1.043564818,0.305327869,0.359133126,4.349783554815411,0.219373219,0.407407407,0.373219373,0.267175572,0.4333,151,35,101,84,100,13,141,42,1,3,488,0.2944,0.5421,"Bryce Harper",11579,547180
"Kris Bryant","- - -",,0.105802047,0.230375426,0.834723801,0.216374269,0.312676056,4.810254786526604,0.234210526,0.37368421,0.392105263,0.167785234,0.3605,136,25,86,73,62,10,144,32,2,2,513,0.3035,0.5415,"Kris Bryant",15429,592178
"Jarren Duran","BOS",,0.035714285,0.357142857,0.577520026,0.121495327,0.318181818,7.355344561740036,0.19402985,0.492537313,0.313432835,0.095238095,0.3971,23,2,17,10,4,2,33,3,2,1,107,0.3858,0.5408,"Jarren Duran",24617,680776
"William Contreras","ATL",,0.102702702,0.291891891,0.701475708,0.18404908,0.264705882,2.2624223525,0.19266055,0.486238532,0.321100917,0.228571428,0.3273,35,8,19,23,19,0,52,4,1,0,163,0.3558,0.5405,"William Contreras",20503,661388
"Jake Marisnick","- - -",,0.055555555,0.328282828,0.660714285,0.15909091,0.305555555,6.930440298450643,0.238938053,0.371681415,0.38938053,0.113636363,0.3304,38,5,21,24,11,4,99,7,3,1,176,0.3695,0.5375,"Jake Marisnick",11339,545350
"Kevin Kiermaier","TBR",,0.084615384,0.253846153,0.716136162,0.129310345,0.345381526,6.838217885338027,0.178571428,0.571428571,0.25,0.063492063,0.2806,90,4,54,37,33,9,122,19,7,5,348,0.324,0.536,"Kevin Kiermaier",11038,595281
"Wilson Ramos","- - -",,0.055214723,0.220858895,0.645798197,0.19205298,0.212962962,0.88504464,0.181034482,0.543103448,0.275862068,0.25,0.3621,31,8,15,20,9,0,44,5,0,0,151,0.3784,0.5357,"Wilson Ramos",1433,467092
"Clint Frazier","NYY",,0.14678899,0.298165137,0.633453651,0.131147541,0.256637168,3.0128869491163717,0.152542372,0.449152542,0.398305084,0.106382978,0.3051,34,5,20,15,32,2,66,9,0,0,183,0.189,0.5327,"Clint Frazier",15983,640449
"Ji Man Choi","TBR",,0.147540983,0.285245901,0.758393696,0.182170543,0.3,1.197964665,0.252941176,0.4,0.347058823,0.186440677,0.386,59,11,36,45,45,0,83,14,0,0,258,0.2299,0.5325,"Ji Man Choi",5452,596847
"Jorge Alfaro","MIA",,0.035369774,0.318327974,0.62533108,0.098305085,0.354166666,4.682083307225415,0.204081632,0.571428571,0.224489795,0.09090909,0.3622,72,4,22,30,11,8,92,15,1,1,295,0.4605,0.5307,"Jorge Alfaro",12180,595751
"Javier Báez","- - -",,0.051188299,0.336380255,0.812705222,0.229083665,0.351724137,5.8924179552049285,0.184952978,0.470219435,0.344827586,0.281818181,0.3676,133,31,80,87,28,18,138,18,2,5,502,0.466,0.5307,"Javier Baez",12979,595879
